Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/05/2026 00:00,59TH STREET_GT_1,24138,34.95,1.11,-21.45
05/05/2026 00:00,74TH STREET_GT_1,24260,34.93,1.10,-21.45
05/05/2026 00:00,74TH STREET_GT_2,24261,34.93,1.10,-21.45
05/05/2026 00:00,ADK HUDSON___FALLS,24011,38.39,0.83,-25.18
05/05/2026 00:00,ADK RESOURCE___RCVRY,23798,38.46,0.89,-25.19
05/05/2026 00:00,ADK S GLENS___FALLS,24028,38.39,0.83,-25.18
05/05/2026 00:00,ADK_NYS___DAM,23527,37.78,0.76,-24.64
05/05/2026 00:00,AIR_PRODUCTS___DRP,24190,37.20,0.30,-24.52
05/05/2026 00:00,AKWESSNE_115KV_BK,355683,12.09,-0.30,0.00
05/05/2026 00:00,ALBANY_1_SOLAR,323833,37.16,0.50,-24.27
05/05/2026 00:00,ALBANY_2_SOLAR,323834,37.16,0.50,-24.27
05/05/2026 00:00,ALBANY___1,23571,37.20,0.30,-24.52
05/05/2026 00:00,ALBANY___2,23572,37.20,0.30,-24.52
05/05/2026 00:00,ALBANY___3,23573,37.20,0.30,-24.52
05/05/2026 00:00,ALBANY___4,23574,37.20,0.30,-24.52
05/05/2026 00:00,ALBANY___LFGE,323615,37.50,0.41,-24.71
05/05/2026 00:00,ALCOA_PA_115KV_PL-6C,55860,12.09,-0.30,0.00
05/05/2026 00:00,ALCOA_RYNLDS___DRP,24188,12.09,-0.30,0.00
05/05/2026 00:00,ALCOA___DSASP,323711,12.09,-0.30,0.00
05/05/2026 00:00,ALLEGHENY___COGEN,23514,13.51,-0.38,-1.51
05/05/2026 00:00,ALTAMONT_115KV_TB 2,55880,37.27,0.41,-24.48
05/05/2026 00:00,ALTONA_WT_PWR,323606,12.05,-0.33,0.00
05/05/2026 00:00,AMERICAN_REF_FUEL,24010,12.66,-1.23,-1.50
05/05/2026 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,12.76,-1.11,-1.49
05/05/2026 00:00,ARTHUR KILL_GT_1,23520,35.04,1.20,-21.45
05/05/2026 00:00,ARTHUR_KILL_2,23512,35.00,1.16,-21.45
05/05/2026 00:00,ARTHUR_KILL_3,23513,34.85,1.02,-21.45
05/05/2026 00:00,ARTHUR_KILL_COGEN,323718,35.04,1.20,-21.45
05/05/2026 00:00,ASHOKAN____,23654,36.03,0.31,-23.33
05/05/2026 00:00,ASTORIA_EAST_ENERGY_CC1,323581,34.99,1.15,-21.45
05/05/2026 00:00,ASTORIA_EAST_ENERGY_CC2,323582,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT2_1,24094,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT2_2,24095,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT2_3,24096,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT2_4,24097,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT3_1,24098,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT3_2,24099,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT3_3,24100,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT3_4,24101,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT4_1,24102,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT4_2,24103,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT4_3,24104,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT4_4,24105,35.00,1.16,-21.45
05/05/2026 00:00,ASTORIA_GT_1,23523,35.01,1.18,-21.45
05/05/2026 00:00,ASTORIA_GT_10,24110,34.91,1.08,-21.45
05/05/2026 00:00,ASTORIA_GT_11,24225,34.91,1.08,-21.45
05/05/2026 00:00,ASTORIA_GT_12,24226,34.91,1.08,-21.45
